record_id	requirement_id	assertion_status	source_class	verification	applicability	source_date	access_date	next_review_date	record_owner	source_uri	retained_copy	retained_sha256	document_version	extract_reference	confidentiality	adverse_evidence	resolution_status	resolved_by	resolution_date	resolution_authority	resolution_basis	decision_use	verified_by	verification_date	verification_procedures	approved_by	conflict_status	limitations
BM-PUB-018	REF-ASSET-PERIMETER	mixed	media	V1	exact	2026-08-24	2026-08-27	2026-11-27	FCA-research	https://agfundernews.com/breaking-upside-foods-drops-bid-for-believer-meats-us-cultivated-meat-facility	NONE	NONE	web-version-unretained	receivership-sale-report	public	true	open	NONE	NONE	NONE	OPEN - current sale authority, asset schedule, exclusions, leases, liens, and IP perimeter require primary records	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	Secondary reporting says a USD 50 million stalking-horse bid ended with no qualifying bids and next steps were under review; sale status is evolving and not admitted as a court finding.
BM-PUB-019	FIN-CLAIMS-RECOVERY	mixed	media	V1	exact	2026-08-24	2026-08-27	2026-11-27	FCA-research	https://agfundernews.com/breaking-upside-foods-drops-bid-for-believer-meats-us-cultivated-meat-facility	NONE	NONE	web-version-unretained	sale-process-and-creditor-report	public	true	open	NONE	NONE	NONE	OPEN - primary claims register, sale orders, bid record, and distribution waterfall are absent	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	Secondary current reporting describes the U.S. receivership sale process; it is a diligence lead, not proof of allowed claims, priorities, recoveries, or final disposition.
BM-PUB-020	REF-IP-RIGHTS-CONTINUITY	mixed	media	V1	near	2026-05-22	2026-08-27	2026-11-27	FCA-research	https://news.bloomberglaw.com/bankruptcy-law/israeli-cultivated-meat-company-gets-us-bankruptcy-recognition	NONE	NONE	web-version-unretained	Chapter-15-recognition-report	public	true	open	NONE	NONE	NONE	OPEN - obtain the Chapter 15 petition and recognition order plus IP ownership and licence records	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	Secondary reporting distinguishes Future Meat Technologies Ltd.'s Israeli proceeding from the U.S. subsidiary receivership and reports that U.S. receiver-controlled assets were outside the Israeli case; exact IP title and licence continuity remain unknown.
BM-PUB-021	REG-OPEN-CONDITIONS	mixed	regulator	V2	exact	UNDATED	2026-08-27	2026-11-27	FCA-research	https://www.fsis.usda.gov/inspection/fsis-inspected-establishments/future-meat-technologies-inc	NONE	NONE	web-version-unretained	P2816-live-status-inactive	public	true	open	NONE	NONE	NONE	OPEN - pair the live detail page with the dated directory and retain the grant and inactivation records	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	FSIS currently lists Future Meat Technologies Inc. d/b/a Believer Meats, P2816, 4939 Lamm Road, as inactive; the live detail page is undated, and inactive means the establishment no longer has a grant of inspection.
BM-PUB-022	REF-REGULATORY-FACILITY-SCOPE	mixed	regulator	V2	exact	2026-08-24	2026-08-27	2026-11-27	FCA-research	https://www.fsis.usda.gov/inspection/establishments/meat-poultry-and-egg-product-inspection-directory	NONE	NONE	web-version-unretained	inactive-directory-definition-and-update-date	public	true	open	NONE	NONE	NONE	OPEN - retain the establishment grant, withdrawal or inactivation record, labels, and open-action history	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	FSIS's directory says inactive establishments no longer have a grant of inspection and reports an update date of 24 August 2026; the reason and exact chronology are not provided.
BM-PUB-023	CON-SCHEDULE	mixed	operator-disclosure	V1	near	2023-06-27	2026-08-27	2026-11-27	FCA-research	https://www.prnewswire.com/news-releases/believer-meats-ceo-gustavo-burger-meets-us-senators-ted-budd-and-thom-tillis-reaffirms-commitment-to-investing-in-north-carolina-301861050.html	NONE	NONE	web-version-unretained	anticipated-Q2-2024-opening	public	true	open	NONE	NONE	NONE	OPEN - planned opening must be reconciled to actual construction, commissioning, shutdown, and sale chronology	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	A company-issued 2023 release anticipated a Q2 2024 opening; elapsed milestone language is not proof of completion or operations.
BM-PUB-024	FIN-SOURCES-USES	partial	government-disclosure	V1	near	UNDATED	2026-08-27	2026-11-27	FCA-research	https://www.wilsonnc.org/home/showpublisheddocument/5061/638092193463830000	NONE	NONE	web-version-unretained	Project-Cascade-local-incentive-agenda	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	URL access and scoped claim extraction; no controlled retained copy	NONE	not-assessed	A Wilson City Council agenda is a lead for a municipal Project Cascade incentive; executed terms, compliance, draws, clawbacks, and estate treatment are not admitted.
BM-PUB-025	REF-FINANCING-OBLIGOR-AUTHORITY	partial	court-record	V2	exact	2026-04-23	2026-08-27	2026-11-27	FCA-research	https://www.courtlistener.com/docket/73236089/2/future-meat-technologies-ltd/	NONE	NONE	court-filed-motion-unretained	paragraphs-9-17-pages-3-5	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	Court-file provenance and scoped assertion extraction; no controlled retained copy	NONE	not-assessed	In a Chapter 15 motion, FML's foreign representative stated that FML owns FMI and that FMI was formed to construct and operate Wilson; this is a filed party assertion, not a final ownership or authority adjudication.
BM-PUB-026	REF-IP-RIGHTS-CONTINUITY	mixed	court-record	V2	exact	2026-04-23	2026-08-27	2026-11-27	FCA-research	https://www.courtlistener.com/docket/73236089/2/future-meat-technologies-ltd/	NONE	NONE	court-filed-motion-unretained	paragraphs-26-33	public	true	open	NONE	NONE	NONE	OPEN - retain patent, know-how, cell-bank, licence, assignment, and insolvency-continuity records	question-only	FCA research reviewer	2026-08-27	Court-file provenance and scoped assertion extraction; no controlled retained copy	NONE	not-assessed	The filed motion states that FML owns or controls patents, know-how, and the cell bank while FMI is the U.S. facility entity; these are party assertions and do not establish title, licence continuity, or successor rights.
BM-PUB-027	FIN-CLAIMS-RECOVERY	mixed	court-record	V2	exact	2026-04-23	2026-08-27	2026-11-27	FCA-research	https://www.courtlistener.com/docket/73236089/2/future-meat-technologies-ltd/	NONE	NONE	court-filed-motion-unretained	paragraphs-14-17	public	true	open	NONE	NONE	NONE	OPEN - retain the North Carolina limited and general receivership orders, claims register, sale authority, and current status	question-only	FCA research reviewer	2026-08-27	Court-file provenance and scoped assertion extraction; no controlled retained copy	NONE	not-assessed	The foreign representative's filed motion states that a limited receiver was appointed on 31 December 2025 and general receiver Kevin L. Sink on 6 February 2026 to control and sell or liquidate FMI assets; the state orders themselves are not retained.
BM-PUB-028	CON-CAPEX-QUOTES	mixed	court-record	V2	exact	2026-04-23	2026-08-27	2026-11-27	FCA-research	https://www.courtlistener.com/docket/73236089/2/future-meat-technologies-ltd/	NONE	NONE	court-filed-record-unretained	paragraph-12-pages-3-4	public	true	open	NONE	NONE	NONE	OPEN - reconcile original budget, scope, equipment, commitments, invoices, claims, and final cost	question-only	FCA research reviewer	2026-08-27	Court-file provenance and scoped assertion extraction; no controlled retained copy	NONE	not-assessed	The foreign representative's filed motion states, based on information provided to the trustee, that approximately USD 154 million was invested in the plant structure excluding production equipment; this is an unaudited party assertion with a different scope and date from the 2022 initial plan.
BM-PUB-029	FIN-SOURCES-USES	mixed	court-record	V2	exact	2026-04-23	2026-08-27	2026-11-27	FCA-research	https://www.courtlistener.com/docket/73236089/2/future-meat-technologies-ltd/	NONE	NONE	court-filed-record-unretained	paragraph-12-pages-3-4	public	true	open	NONE	NONE	NONE	OPEN - reconcile historical investment, funding sources, assets, unpaid claims, and current estate uses	question-only	FCA research reviewer	2026-08-27	Court-file provenance and scoped assertion extraction; no controlled retained copy	NONE	not-assessed	The filed USD 154 million plant-structure assertion requires reconciliation to the USD 123.35 million 2022 initial plan, equipment costs, funding, liabilities, and estate records; neither figure is admitted as audited final cost.
BM-PUB-030	CON-SCHEDULE	mixed	court-record	V2	exact	2026-04-23	2026-08-27	2026-11-27	FCA-research	https://www.courtlistener.com/docket/73236089/4/future-meat-technologies-ltd/	NONE	NONE	court-filed-record-unretained	trustee-declaration-cost-overrun-and-delay-assertions	public	true	open	NONE	NONE	NONE	OPEN - reconcile sworn assertions to baseline schedules, change records, regulatory chronology, commissioning, and liquidity	question-only	FCA research reviewer	2026-08-27	Court-file provenance and scoped assertion extraction; no controlled retained copy	NONE	not-assessed	A sworn trustee declaration attributes the liquidity crisis in part to cost overruns and construction and regulatory delays; it is a party declaration, not an adjudicated root-cause finding.
BM-PUB-031	REF-ASSET-PERIMETER	partial	public-filing	V2	exact	UNDATED	2026-08-27	2026-11-27	FCA-research	https://rod.wilson-co.com/External/LandRecords/protected/v4/SrchParcel.aspx?bAutoSearch=True&gp=2792762147000	NONE	NONE	live-county-index-unretained	GPIN-2792762147000-instrument-index	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	FCA research reviewer	2026-08-27	County instrument-index access and scoped entry extraction; instrument images not retained	NONE	not-assessed	Wilson County's parcel index records July 2024 deed and quitclaim-deed entries from Wilson County Properties Inc. to Future Meat Technologies Inc. and a September 2024 easement to the City of Wilson; actual instruments, current title, and full asset perimeter are not retained.
BM-PUB-032	FIN-CLAIMS-RECOVERY	mixed	public-filing	V2	exact	UNDATED	2026-08-27	2026-11-27	FCA-research	https://rod.wilson-co.com/External/LandRecords/protected/v4/SrchParcel.aspx?bAutoSearch=True&gp=2792762147000	NONE	NONE	live-county-index-unretained	GPIN-2792762147000-instrument-index	public	true	open	NONE	NONE	NONE	OPEN - retain the deed of trust, current title and UCC searches, claims, payoff, priority, and release records	question-only	FCA research reviewer	2026-08-27	County instrument-index access and scoped entry extraction; instrument images not retained	NONE	not-assessed	The county index records a 26 November 2025 deed of trust from Future Meat Technologies Inc. to ADM Ventures Investment Corp.; it does not establish current balance, validity, priority, release, or all secured parties and must be reconciled with other creditor records.
BM-PUB-033	FIN-CLAIMS-RECOVERY	mixed	court-record	V2	exact	2026-03-11	2026-08-27	2026-11-27	FCA-research	https://ecf.nced.uscourts.gov/doc1/131010657783?caseid=223551	NONE	NONE	official-court-order-unretained	order-granting-stay-and-requiring-status-reports	public	true	open	NONE	NONE	NONE	OPEN - retain the full federal and state records, claims, liens, receivership orders, and current status reports	question-only	FCA research reviewer	2026-08-27	Official CM/ECF order provenance and scoped disposition extraction; PACER login may be required; no controlled retained copy	NONE	not-assessed	The federal court stayed Gray Construction v. Future Meat Technologies Inc. pending state proceedings and required 90-day status reports; it did not adjudicate liability or establish the state receivership estate and priority waterfall; the public CM/ECF link may require PACER authentication.
BM-GAP-001	REF-LEGAL-OPERATOR	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain current formation, ownership, good-standing, operating-authority, and estate-control records for every relevant entity.
BM-GAP-002	REF-FINANCING-OBLIGOR-AUTHORITY	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain primary receivership and Chapter 15 orders, current authorized representatives, board authority, and the exact proposed financing obligor.
BM-GAP-003	REF-FACILITY-SITE	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain survey, title or lease, easements, shared-service boundaries, off-site steps, occupancy records, and a controlled site crosswalk.
BM-GAP-004	REF-ASSET-PERIMETER	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain the fixed-asset register, ownership, leases, liens, exclusions, estate schedules, permits, and proposed collateral perimeter.
BM-GAP-005	REF-PRODUCT-SPEC	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain controlled finished-product and qualified-output specifications plus buyer-facing acceptance definitions.
BM-GAP-006	REF-PROCESS-BOUNDARY	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain the exact cell bank, process version, equipment train, unit operations, change controls, and Wilson comparability crosswalk.
BM-GAP-007	REF-JURISDICTION	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain intended production, sale, delivery, and enforcement jurisdictions from controlled legal and commercial records.
BM-GAP-008	REF-GOVERNING-LAW	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain governing law, forum, dispute, insolvency, security, and enforcement analysis for each material contract and candidate instrument.
BM-GAP-009	REF-USE-OF-FUNDS	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain a current board- or receiver-approved financing purpose, eligible uses, cost-to-complete, reserves, and reporting currency basis.
BM-GAP-010	REF-REGULATORY-FACILITY-SCOPE	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain current FDA, FSIS, state, local, environmental, building, pressure, wastewater, label, and open-action records.
BM-GAP-011	REF-IP-RIGHTS-CONTINUITY	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain IP chain of title, freedom-to-operate review, licences, insolvency continuity, escrow, cure, assignment, and step-in rights.
BM-GAP-012	TEC-COMPLETE-RUN-HISTORY	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain the complete exact-project successful run and campaign population, including inclusion and exclusion logic.
BM-GAP-013	TEC-FAILED-RUNS	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain all aborted, contaminated, out-of-specification, rejected, destroyed, and release-failed runs with root cause and disposition.
BM-GAP-014	TEC-MASS-BALANCE	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain batch-level input, viable-cell, biomass, harvest, wash-loss, inventory, waste, release, shipment, and saleable-output reconciliation.
BM-GAP-015	TEC-UTILITY-COST	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain calibrated-meter utilities and reconciled consumables, labor, quality, waste, maintenance, and general-ledger cost evidence.
BM-GAP-016	TEC-INDEPENDENT-REVIEW	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain an independent engineer report covering technology readiness, scale transfer, commissioning, capacity, reliability, and limitations.
BM-GAP-017	CON-DESIGN-BASIS	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain issued design basis, PFDs, P&IDs, equipment list, utility and mass balance, layout, controls, and capacity definition.
BM-GAP-018	CON-CAPEX-QUOTES	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain original/current budgets, bids, executed commitments, invoices, changes, claims, spent-to-date, and cost-to-complete.
BM-GAP-019	CON-SCHEDULE	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain baseline and current resource-loaded schedules, critical path, commissioning sequence, actual milestones, delay causes, and recovery plan.
BM-GAP-020	CON-CONTINGENCY	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain quantified cost and schedule risk analyses, correlation basis, contingency policy, draw history, and remaining contingency.
BM-GAP-021	FIN-OPERATING-LEDGER	gap	none	V0	illustrative	NONE	2026-08-27	2026-11-27	FCA-research	NONE	NONE	NONE	NONE	NONE	public	false	not-applicable	NONE	NONE	NONE	NONE	question-only	NONE	NONE	NONE	NONE	not-assessed	Obtain audited ledgers and a bridge from physical batches through inventory, COGS, revenue, cash flow, and working capital.
